Device: cuda
Loaded 46588 samples from cache
Channel weights: user=1.0, assistant=1.2
Normalization: l2
Embeddings shape: (46588, 9216)
Embedding dimension: 9216
Model parameters: 9,879,681

=== PHASE 1: PROBE (5 epochs) ===
Epoch 330/1000 — loss: 0.0015, val MAE: 0.0139
Epoch 331/1000 — loss: 0.0012, val MAE: 0.0126
Epoch 332/1000 — loss: 0.0014, val MAE: 0.0138
Epoch 333/1000 — loss: 0.0013, val MAE: 0.0125
Epoch 334/1000 — loss: 0.0014, val MAE: 0.0144
Epoch 335/1000 — loss: 0.0012, val MAE: 0.0128
Epoch 336/1000 — loss: 0.0012, val MAE: 0.0136
Epoch 337/1000 — loss: 0.0013, val MAE: 0.0142
Epoch 338/1000 — loss: 0.0014, val MAE: 0.0147
Epoch 339/1000 — loss: 0.0014, val MAE: 0.0135
Epoch 340/1000 — loss: 0.0014, val MAE: 0.0155
Epoch 341/1000 — loss: 0.0013, val MAE: 0.0139
Epoch 342/1000 — loss: 0.0012, val MAE: 0.0133
Epoch 343/1000 — loss: 0.0015, val MAE: 0.0143
Epoch 344/1000 — loss: 0.0010, val MAE: 0.0126
Epoch 345/1000 — loss: 0.0011, val MAE: 0.0133
Epoch 346/1000 — loss: 0.0011, val MAE: 0.0134
Epoch 347/1000 — loss: 0.0011, val MAE: 0.0126
Epoch 348/1000 — loss: 0.0012, val MAE: 0.0145
Epoch 349/1000 — loss: 0.0015, val MAE: 0.0130
Epoch 350/1000 — loss: 0.0015, val MAE: 0.0161
Epoch 351/1000 — loss: 0.0016, val MAE: 0.0162
Epoch 352/1000 — loss: 0.0014, val MAE: 0.0137
Epoch 353/1000 — loss: 0.0014, val MAE: 0.0139
Epoch 354/1000 — loss: 0.0014, val MAE: 0.0140
Epoch 355/1000 — loss: 0.0012, val MAE: 0.0129
Epoch 356/1000 — loss: 0.0012, val MAE: 0.0151
Epoch 357/1000 — loss: 0.0012, val MAE: 0.0136
Epoch 358/1000 — loss: 0.0013, val MAE: 0.0140
Epoch 359/1000 — loss: 0.0013, val MAE: 0.0130
Epoch 360/1000 — loss: 0.0010, val MAE: 0.0126
Epoch 361/1000 — loss: 0.0012, val MAE: 0.0138
Epoch 362/1000 — loss: 0.0013, val MAE: 0.0136
Epoch 363/1000 — loss: 0.0015, val MAE: 0.0141
Epoch 364/1000 — loss: 0.0014, val MAE: 0.0127
Epoch 365/1000 — loss: 0.0011, val MAE: 0.0145
Epoch 366/1000 — loss: 0.0012, val MAE: 0.0139
Epoch 367/1000 — loss: 0.0012, val MAE: 0.0128
Epoch 368/1000 — loss: 0.0011, val MAE: 0.0130
Epoch 369/1000 — loss: 0.0015, val MAE: 0.0191
Epoch 370/1000 — loss: 0.0015, val MAE: 0.0137
Epoch 371/1000 — loss: 0.0012, val MAE: 0.0131
Epoch 372/1000 — loss: 0.0012, val MAE: 0.0132
Epoch 373/1000 — loss: 0.0012, val MAE: 0.0120
Epoch 374/1000 — loss: 0.0011, val MAE: 0.0128
Epoch 375/1000 — loss: 0.0012, val MAE: 0.0159
Epoch 376/1000 — loss: 0.0011, val MAE: 0.0120
Epoch 377/1000 — loss: 0.0012, val MAE: 0.0127
Epoch 378/1000 — loss: 0.0012, val MAE: 0.0127
Epoch 379/1000 — loss: 0.0012, val MAE: 0.0129
Epoch 380/1000 — loss: 0.0011, val MAE: 0.0129
Epoch 381/1000 — loss: 0.0013, val MAE: 0.0128
Epoch 382/1000 — loss: 0.0012, val MAE: 0.0131
Epoch 383/1000 — loss: 0.0015, val MAE: 0.0133
Epoch 384/1000 — loss: 0.0013, val MAE: 0.0125
Epoch 385/1000 — loss: 0.0012, val MAE: 0.0138
Epoch 386/1000 — loss: 0.0014, val MAE: 0.0148
Epoch 387/1000 — loss: 0.0014, val MAE: 0.0128
Epoch 388/1000 — loss: 0.0012, val MAE: 0.0129
Epoch 389/1000 — loss: 0.0012, val MAE: 0.0141
Epoch 390/1000 — loss: 0.0012, val MAE: 0.0129
